category,product,historical_quantity
CHOCOLATES,HALLS BARRA LIM,89.0
CHOCOLATES,HALLS BARRA ROJ,80.0
CHOCOLATES,"A IE CHOCO], IMON",69.0
CHOCOLATES,MINT CHOCO BUM,50.0
CONDIMENTOS Y SALSAS,ALACENA MAYONESA,70.0
CONDIMENTOS Y SALSAS,KETCHUP ALACENA,52.0
CONDIMENTOS Y SALSAS,TARI ALACENA 65,31.0
CONDIMENTOS Y SALSAS,AJINOMOTO 250,25.0
CONDIMENTOS Y SALSAS,TARI ALACENA,17.0
CONDIMENTOS Y SALSAS,POMAROLA BOLOGN,9.0
CONSERVAS,INCA MAR TROZOS,85.0
CONSERVAS,FLORIDA TROZOS/,58.0
CONSERVAS,FLORIDA FILETE/,49.0
CONSERVAS,CAMPOMAR FILETE,46.0
CONSERVAS,PRIMOR TROZOS/A,38.0
CONSERVAS,D GUSTO TROZOS,16.0
CONSERVAS,CAMPOMAR TROZOS,15.0
CONSERVAS,INCA MAR FILETE,3.0
CUIDADO BUCAL,COLGATE TRIPLE,105.0
CUIDADO BUCAL,KOLYNOS CEPILLO,62.0
CUIDADO BUCAL,COLGATE FAMILIA,56.0
CUIDADO BUCAL,COLGATE HERBAL,55.0
CUIDADO CAPILAR,PANTENE: COLLAGEN,100.0
CUIDADO CAPILAR,PANTENE RESTAUR,59.0
CUIDADO CAPILAR,PANTENE SHAMPOO,41.0
CUIDADO CAPILAR,"PANTENE, PROV-V",39.0
CUIDADO CAPILAR,HS LIMPIEZA REN,38.0
CUIDADO CAPILAR,SAVITAL ACONDIC,38.0
CUIDADO CAPILAR,HS DERMO SENSITIVE,36.0
CUIDADO CAPILAR,HS 2-4 SUAVE MA,32.0
CUIDADO CAPILAR,HS ACEITE DE COCO,30.0
CUIDADO CAPILAR,SEDAL CONTROL CC,29.0
CUIDADO CAPILAR,HS PROTECCION,28.0
CUIDADO CAPILAR,SEDAL PREBIOTIC,27.0
CUIDADO CAPILAR,HS ANTICOMEZON,26.0
CUIDADO CAPILAR,PANTENE RIZOS*T,25.0
CUIDADO DEL BEBÉ,BABYSEC SUPER P,19.0
DESECHABLES Y PAPEL,BOLSA DE BASURA,88.0
DETERGENTES,DETERGENTE LÍQUIDO CLEAN LINE FLORAL 1 L,18.0
DETERGENTES Y LIMPIEZA,SAPOLIO POTE LI,90.0
DETERGENTES Y LIMPIEZA,MAGIA BLANCA 14,89.0
DETERGENTES Y LIMPIEZA,MR. MUSCULO COC,87.0
DETERGENTES Y LIMPIEZA,BOLIVAR JABON B,83.0
DETERGENTES Y LIMPIEZA,SAPOLIO LIMPIATODO,78.0
DETERGENTES Y LIMPIEZA,SAPOLIO LAVAVA 4,75.0
DETERGENTES Y LIMPIEZA,CARICIA DETERG,63.0
DETERGENTES Y LIMPIEZA,SAPOLIO LIMPIA,61.0
DETERGENTES Y LIMPIEZA,ARIEL DETERG 3,59.0
DETERGENTES Y LIMPIEZA,SAPOLIO LEJIA 7,54.0
DETERGENTES Y LIMPIEZA,ACE DETERG. 700,42.0
DETERGENTES Y LIMPIEZA,MARSELLA DETERG,36.0
DETERGENTES Y LIMPIEZA,SAPOLIO DETERG,31.0
DETERGENTES Y LIMPIEZA,CLOROX ROPA/COL,29.0
DETERGENTES Y LIMPIEZA,MARSELLA DTERG,24.0
DETERGENTES Y LIMPIEZA,CLOROX LEJIA 4K,16.0
DETERGENTES Y LIMPIEZA,PATITO DETERGENTE,2.0
DULCES,GALLETAS TRAVESURAS FIELD 47.6 G,382.0
DULCES,CHOCOLATE SUBLIME SONRISA 37 G,266.0
DULCES,GALLETAS TOTTUS CHOCO CHISPAS 192 G,254.0
DULCES,GALLETAS MARGARITA VICTORIA 246 G,234.0
DULCES,GALLETAS GLACITAS TOFFEE 180 G,217.0
DULCES,GALLETAS OREO ORIGINAL 135 G,201.0
DULCES,CARAMELOS SAYÓN PERITA 380 G,194.0
DULCES,WAFER NIK VAINILLA SIXPACK 162 G,186.0
DULCES,BARQUILLO WAFER ROLL TOTTUS CHOCOLATE 130 G,185.0
DULCES,DOÑA PEPA FIELD SIXPACK 132 G,179.0
DULCES,GOMITAS AMBROSOLI FRUGELÉ FRUTAS 430 G,173.0
DULCES,BOMBONES BON O BON 90 G,163.0
DULCES,PASTELITO SULI 50 G,159.0
DULCES,CHUPETÍN GLOBO POP SURTIDO 432 G,150.0
DULCES,GOMITAS DELFINES TOTTUS 100 G,124.0
DULCES,FRUNAS AMBROSOLI SURTIDAS 420 G,119.0
DULCES,GOMITAS GUSANOS ÁCIDOS TOTTUS 100 G,119.0
DULCES,GOMITAS OSITOS TOTTUS 100 G,116.0
DULCES,GALLETAS DULCES EXPEDICIÓN TOTTUS 500 G,112.0
DULCES,GOMITAS RUEDITAS TOTTUS 100 G,109.0
DULCES,GALLETAS CHIPS AHOY SIXPACK 222 G,89.0
DULCES,GALLETAS CASINO SURTIDO 516 G,70.0
DULCES,GALLETAS CHOCOBUM SIXPACK 198 G,14.0
EMBUTIDOS,SALCHICHA VIENESA SANTA ISABEL 230 G,30.0
GALLETAS Y BIZCOCHOS,SAN JORGE RIGAT,521.0
GALLETAS Y BIZCOCHOS,MOLITALIA CODO,495.0
GALLETAS Y BIZCOCHOS,MOLITALIA RIGAT,447.0
GALLETAS Y BIZCOCHOS,RELLENITAS CHOC,432.0
GALLETAS Y BIZCOCHOS,PINGUINO 80G,400.0
GALLETAS Y BIZCOCHOS,MOLITALIA TORNI,382.0
GALLETAS Y BIZCOCHOS,BROWNIE CHIPS,358.0
GALLETAS Y BIZCOCHOS,SODA FIELD 32G,336.0
GALLETAS Y BIZCOCHOS,BROWNIE GUSTOZZ,334.0
GALLETAS Y BIZCOCHOS,NIKOLO FRESA EX,319.0
GALLETAS Y BIZCOCHOS,COSTA WAFER CHO,310.0
GALLETAS Y BIZCOCHOS,KEKE MARMOLEADO,305.0
GALLETAS Y BIZCOCHOS,KEKE NARANJA 398,305.0
GALLETAS Y BIZCOCHOS,GANSTITO,294.0
GALLETAS Y BIZCOCHOS,RELLENITAS TACO,292.0
GALLETAS Y BIZCOCHOS,COSTA WAFER VAINI,281.0
GALLETAS Y BIZCOCHOS,VAINILLA FIELD,273.0
GALLETAS Y BIZCOCHOS,NIK WAFER FRESA,260.0
GALLETAS Y BIZCOCHOS,TYO WAFER 22Q,251.0
GALLETAS Y BIZCOCHOS,BIMBOLETE CHISP,248.0
GALLETAS Y BIZCOCHOS,RELLENITA TACO,233.0
GALLETAS Y BIZCOCHOS,MOLITALIA SEMOL,227.0
GALLETAS Y BIZCOCHOS,SAN JORGE SODA,225.0
GALLETAS Y BIZCOCHOS,NIKOLO EXTREMO,207.0
GALLETAS Y BIZCOCHOS,ARITAS GALLETA,161.0
GALLETAS Y BIZCOCHOS,PRINCIPE GALLE,154.0
GALLETAS Y BIZCOCHOS,COSTA WAFER FRE,137.0
GALLETAS Y BIZCOCHOS,RELLENITAS FRES,135.0
GALLETAS Y BIZCOCHOS,UNION GALLETA 1,48.0
GASEOSAS,COCA COLA PTIRA,733.0
GASEOSAS,"KR PINA 1,7L",716.0
GASEOSAS,INCA KOLA 2-5 B,715.0
GASEOSAS,PEPSI 2 L RETOR,654.0
GASEOSAS,INCA KOLA VIDRI,633.0
GASEOSAS,INCA KOLA,556.0
GASEOSAS,PEPSI 450 ML,527.0
GASEOSAS,FANTA NARANJA 2,523.0
GASEOSAS,KR PINA 400ML],490.0
GASEOSAS,DR PEPPER LATA,477.0
GASEOSAS,COCA COLA VIDRI,471.0
GASEOSAS,INCA KOLA 600ML,466.0
GASEOSAS,COCA COLA 300 M,464.0
GASEOSAS,PEPSI COLA 750M,436.0
GASEOSAS,PEPSI COLA 1.5L,430.0
GASEOSAS,COCA COLA DESCA,420.0
GASEOSAS,CONCORDIA FRESA,390.0
GASEOSAS,GUARANITA 300M],387.0
GASEOSAS,COCA COLA 600ML,383.0
GASEOSAS,INCA KOLA GORDI,357.0
GASEOSAS,COCA COLA PERSO,321.0
GASEOSAS,FANTA NARANJA 3,277.0
GASEOSAS,CONCORDIA PINA,249.0
GASEOSAS,COCA COLA JUMBO,245.0
GASEOSAS,COCA COLA 1.5L,241.0
GASEOSAS,GUARANITA PINK,226.0
GASEOSAS,INCA KOLA PERSO,206.0
GASEOSAS,INCA KOLA SIN A,193.0
GOLOSINAS,TRIDENT EVUP AZ,834.0
GOLOSINAS,TRIDENT MENTA,819.0
GOLOSINAS,MENTOS TUTTI FR,802.0
GOLOSINAS,TRIDENT MENTA 5,795.0
GOLOSINAS,GOMITAS AMBROST,714.0
GOLOSINAS,TRIDENT MORA AZ,694.0
GOLOSINAS,BIG BEN CARAMEL,674.0
GOLOSINAS,OGUL GOMITAS,659.0
GOLOSINAS,GOMITAS AMBRO,655.0
GOLOSINAS,CHOMP SABOR/NAR,634.0
GOLOSINAS,TRIDENT TUTTI F,595.0
GOLOSINAS,MOGUL OSITOS,578.0
GOLOSINAS,BOOGIE CREMA,558.0
GOLOSINAS,TIC TAC NARANJA,545.0
GOLOSINAS,BOMBONES GRAN P,538.0
GOLOSINAS,ANIMALITOS GALL,507.0
GOLOSINAS,GLACITAS CHOCOL,503.0
GOLOSINAS,FRUNA BLOCKS,500.0
GOLOSINAS,CHICLE BOOGIE S,497.0
GOLOSINAS,GOMITAS GUSANOS,468.0
GOLOSINAS,DENTITO CHICLE,437.0
GOLOSINAS,CHURRITO,409.0
GOLOSINAS,TRIDENT FRESH H,409.0
GOLOSINAS,TRIDENT FRESA,404.0
GOLOSINAS,BOOGIE ALIANZA,397.0
GOLOSINAS,TRIDENT SANDIA,389.0
GOLOSINAS,PULL MASTICABLE,388.0
GOLOSINAS,BOOGIE CHICLE 2,381.0
GOLOSINAS,RULULU GOMITAS,367.0
GOLOSINAS,GLACITAS PRESA,351.0
GOLOSINAS,BOMBONES POTE,320.0
GOLOSINAS,CHUPETIN BIG BO,305.0
GOLOSINAS,PAPEL ALUMINIO,282.0
GOLOSINAS,TRULULU GOMITAS,271.0
GOLOSINAS,TRIDENT MORA 5,259.0
GOLOSINAS,VIZZIO COSTA BO,255.0
GOLOSINAS,MENTITAS,236.0
HARINAS,HARINA PREPARADA TOTTUS 1 KG,37.0
HARINAS,HARINA SIN PREPARAR MOLITALIA 1 KG,24.0
HARINAS,HARINA SIN PREPARAR TOTTUS 1 KG,15.0
HELADOS,FRIO RICO FRESA,74.0
HELADOS,ALASKA PINA,33.0
HELADOS,ALASKA MARACUYA,26.0
HIGIENE FEMENINA,TOALLA HIGIÉNICA MITHOS REGULAR X 10,48.0
HIGIENE FEMENINA,NOSOTRAS DIARIA,27.0
HIGIENE PERSONAL,PALMOLIVE JABON,53.0
HIGIENE PERSONAL,JOHNSONS VERDE,42.0
HIGIENE PERSONAL,HENO DE PRAVIA AMA,37.0
HIGIENE PERSONAL,NIVEA SPRAY TON,35.0
HIGIENE PERSONAL,JOHNSONS AMARTI,30.0
HIGIENE PERSONAL,DOVE KARITE,29.0
HIGIENE PERSONAL,HENO DE PRAVIA BLA,20.0
HIGIENE PERSONAL,REXONA MEN SPRA,17.0
HIGIENE PERSONAL,MONCLEE JABON 1,16.0
HIGIENE PERSONAL,NIVEA MEN SPRAY,16.0
HIGIENE PERSONAL,REXONA NUTRITIV,12.0
INFUSIONES,HERBI ANIS (25,84.0
JUGOS Y BEBIDAS,MIKES LIMON BRE,151.0
JUGOS Y BEBIDAS,HIT PINA COLADA,57.0
JUGOS Y BEBIDAS,FRUGOS DEL VALE,43.0
JUGOS Y BEBIDAS,FRUGOS VALLE DU,36.0
JUGOS Y BEBIDAS,FRUGOS DEL VALL,31.0
LÁCTEOS,GLORIA AZUL 400,134.0
LÁCTEOS,GLORIA YOGURT,126.0
LÁCTEOS,GLORIA MANTEQUI,115.0
LÁCTEOS,GLORIA UHT NINO,109.0
LÁCTEOS,DAN LAC FRUTADO,105.0
LÁCTEOS,ANCHOR EN POLVO,89.0
LÁCTEOS,GLORIA YOGURT B,86.0
LÁCTEOS,GLORIA YOGURT F,86.0
LÁCTEOS,LECHE EVAPORADA VILLA FRESCA 410 G,80.0
LÁCTEOS,GLORIA BOLSA AZ,77.0
LÁCTEOS,DAN LAC MARACUM,74.0
LÁCTEOS,LAIVE BOLSA ADU,73.0
LÁCTEOS,GLORIA QUESO PA,49.0
LÁCTEOS,YOGURT BEBIBLE VILLA FRESCA VAINILLA 900 G,34.0
LÁCTEOS,GLORIA YOGURT G,29.0
LÁCTEOS,GLORIA UHT CHOC,20.0
LÁCTEOS,YOGURT BEBIBLE VILLA FRESCA FRESA 900 G,20.0
LÁCTEOS,ALIMENTO LÁCTEO YOPI FRESA 80 G,4.0
LÁCTEOS,LAIVE MANTEQUIL,3.0
MENESTRAS,LENTEJA TOTTUS 500 G,20.0
MENESTRAS,LENTEJA BEBÉ TOTTUS 500 G,14.0
MENESTRAS,FRIJOL CANARIO TOTTUS 500 G,12.0
MENESTRAS,GARBANZO TOTTUS 500 G,2.0
PANIFICADOS,PAN DE MOLDE SULI BLANCO 400 G,21.0
PASTAS,FIDEO DON VITTORIO SPAGHETTI 950 G,7.0
PILAS Y BATERÍAS,PANASONIC PILAS,36.0
SNACKS,INKA CHIP AMART,561.0
SNACKS,LAYS POLLO LA,495.0
SNACKS,CHIFLES LECHE D,487.0
SNACKS,CHIFLES GRANDE,445.0
SNACKS,INKA CHIP VERDE,400.0
SNACKS,INKA CHIP ROJA,390.0
SNACKS,LAYS ONDAS PICA,349.0
SNACKS,PALITOS DE AJON,347.0
SNACKS,CHEETOS GARRITA,345.0
SNACKS,VORAZ PAPAS BAR,324.0
SNACKS,CHIZITOS FIESTA,297.0
SNACKS,LAYS CLASICAS B,297.0
SNACKS,CANCHA GIGANTE,286.0
SNACKS,CHIFLE PEQUEÑO,277.0
SNACKS,CHEETOS FLAMING,241.0
SNACKS,TAKIS ORIGINAL,201.0
SNACKS,TAKIS XPLOSION,199.0
SNACKS,VORAZ PAPAS PRC,184.0
SNACKS,TAKIS FUEGO 90,179.0
SNACKS,PIQUEO MIX PROXI 180 G,167.0
SNACKS,BIG BEN SNACK ¢,162.0
SNACKS,CANCHA DULCE,157.0
SNACKS,PIQUEO SNAX QUE,69.0
SNACKS,LAYS FIESTA 150,61.0
SUAVIZANTES,SUAVITEL PRIMAV,97.0
SUAVIZANTES,DOWNY AMANECER,50.0
SUAVIZANTES,DOWNY AROMA ELO,49.0
SUAVIZANTES,DOWNY AROMA FLO,39.0
SUAVIZANTES,DOWNY INTENSE F,30.0
SUAVIZANTES,SUAVITEL DOY PA,25.0
SUAVIZANTES,SUAVITEL MANZAN,7.0
UNTABLES Y DULCES,FANNY MERMELADA,40.0
UNTABLES Y DULCES,GLICT MIEL PE A,32.0
UNTABLES Y DULCES,MANJAR BLANCO,2.0
